阶段,周数,主要主题,关键学习目标,项目/里程碑,状态 (待填写),开始日期(待填写),完成日期 (待填写),备注 (待填写)
第二阶段：量化建模与工具 (6-12 个月),45-46,QuantLib 定价 (原W18),学习使用QuantLib内置的Black-Scholes引擎为欧式期权定价。,项目：验证QuantLib定价结果，与Hull书中的示例对比。,,,,
第二阶段：量化建模与工具 (6-12 个月),47-48,P2 核心项目：二叉树 (原W19-20),从零实现二叉树定价器（美式和欧式）。,里程碑：定价结果与QuantLib/Hull对比验证。,,,,
第二阶段：量化建模与工具 (6-12 个月),49-50,P2 核心项目：蒙特卡洛 (原W21-22),从零实现蒙特卡洛模拟引擎（欧式）。,里程碑：定价结果与QuantLib/Hull对比验证。,,,,
第二阶段：量化建模与工具 (6-12 个月),51-52,P2 核心项目：FDM (原W23-24),从零实现显式有限差分法 (FDM) 求解器。,里程碑：使用Eigen进行矩阵运算，并验证FDM结果。,,,,
第三阶段：系统架构与工程 (12-18 个月),53-54,金融软件设计模式 (原W25),深入学习策略模式、观察者模式。,思考：如何在回测引擎中应用这两个模式？,,,,
第三阶段：系统架构与工程 (12-18 个月),55-56,金融软件设计模式 (原W26),深入学习工厂模式、单例模式。,思考：如何在回测引擎中应用这两个模式？,,,,
第三阶段：系统架构与工程 (12-18 个月),57-60,P3 项目：回测引擎 (架构) (原W27),设计回测引擎的整体架构，实现核心的线程安全事件队列。,"里程碑：完成事件队列和核心事件类型定义 (Market, Signal, Order, Fill)。",,,,
第三阶段：系统架构与工程 (12-18 个月),61-64,P3 项目：回测引擎 (数据) (原W28),实现DataHandler模块，能从CSV文件加载历史数据并生成MarketEvent。,里程碑：引擎能够成功读取数据并填充事件队列。,,,,
第三阶段：系统架构与工程 (12-18 个月),65-68,P3 项目：回测引擎 (策略) (原W29),实现抽象的Strategy基类，并实现一个具体的策略（如移动平均线交叉）。,里程碑：策略能够根据MarketEvent生成SignalEvent。,,,,
第三阶段：系统架构与工程 (12-18 个月),69-72,P3 项目：回测引擎 (投资组合) (原W29),实现Portfolio模块，跟踪头寸、现金、计算P&L。,里程碑：Portfolio能根据FillEvent正确更新持仓和盈亏。,,,,
第三阶段：系统架构与工程 (12-18 个月),73-76,P3 项目：回测引擎 (执行) (原W30),实现ExecutionHandler，模拟订单撮合逻辑（可简化）。,里程碑：能处理OrderEvent并生成FillEvent。,,,,
第三阶段：系统架构与工程 (12-18 个月),77-78,P3 项目：回测引擎 (集成) (原W31-32),集成所有模块，运行一次完整的端到端回测，并生成基础报告（夏普比率、最大回撤）。,第四阶段最终项目： 完成回测引擎。,,,,
第四阶段：专业化与面试准备 (18-24 个月),79-82,(补充) 专业化：HFT/低延迟,"学习Linux底层、网络编程（Asio）、C++性能剖析（gprof, perf）。",（原计划W16）学习使用工具定位性能 bottleneck。,,,,HFT方向示例
第四阶段：专业化与面试准备 (18-24 个月),83-86,(补充) 专业化：高级并发,"深入学习std::future, std::promise, std::atomic, C++内存模型。",（原计划W13-14）理解数据竞争和内存顺序。,,,,
第四阶段：专业化与面试准备 (18-24 个月),87-90,"C++ 底层与TMP (原W15, W35)",复习虚函数表、内存模型、模板元编程（TMP）基本思想。,实现编译期阶乘，理解表达式模板。,,,,
第四阶段：专业化与面试准备 (18-24 个月),91-94,(补充) 量化面试：概率论,系统性解决《A Practical Guide to Quantitative Finance Interviews》（绿皮书）上的概率谜题。,能够从第一性原理推导出谜题答案。,,,,
第四阶段：专业化与面试准备 (18-24 个月),95-98,(补充) 量化面试：逻辑与算法,（原计划W35）解决QuantNet上的逻辑谜题。,并行任务：LeetCode冲刺（中/困难）。,,,,
第四阶段：专业化与面试准备 (18-24 个月),99-101,算法冲刺 (原W33-34),集中练习LeetCode中等和困难难度的题目（树、堆、动态规划、图）。,能够模拟面试场景，清晰地口述解题思路。,,,,
第四阶段：专业化与面试准备 (18-24 个月),102-104,作品集润色与模拟面试 (原W36),清理和重构GitHub项目代码（LOB、定价器、回测引擎），编写高质量的README。,与同行或通过平台进行至少3-5次模拟面试。,,,,
